"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BT05","Chablais","Organic","2023","Tillecur","Tillecur",NA,13.3,34.22,49
"BT05","Chablais","Organic","2023","Thermoseed","ThermoSeed",NA,13.5,33.4,44
"BT05","Chablais","Organic","2023","Evonta","E-beam",NA,13.6,35.11,45.5
"BT05","Chablais","Organic","2023","Temoin non traite","Control",NA,14.1,33.79,47
"BT12","Chablais","Organic","2023","Tillecur","Tillecur",NA,11.9,50.1,49.25
"BT12","Chablais","Organic","2023","Evonta","E-beam",NA,12,49.62,50.75
"BT12","Chablais","Organic","2023","Temoin non traite","Control",NA,12.3,49.3,50.25
"BT12","Chablais","Organic","2023","Thermoseed","ThermoSeed",NA,12.9,48.58,50
"BF04","Nord","Conventional without fungicide ","2024","Evonta","E-beam",16.52,12.7,26.42,57.75
"BF04","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",16.52,13.1,27.04,51
"BT09","Nord","Organic","2024","Thermoseed","ThermoSeed",17.9,NA,NA,72.75
"BT09","Nord","Organic","2024","Temoin non traite","Control",18,NA,NA,71
"BT09","Nord","Organic","2024","Nutrimieux + Vitalsel","Other alternatives",18.1,NA,NA,76.25
"BT09","Nord","Organic","2024","Evonta","E-beam",18.2,NA,NA,73.75
"BF04","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",18.59,12,27.4,55.5
"BF04","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",18.59,12.5,29.48,59.5
"BT09","Nord","Organic","2023","Evonta","E-beam",20,12.1,41.1,92.75
"BT09","Nord","Organic","2023","Temoin non traite","Control",20.25,12.9,42.01,92
"BT09","Nord","Organic","2023","Thermoseed","ThermoSeed",20.5,11.9,40.73,99.25
"BT09","Nord","Organic","2023","Nutrimieux + Vitalsel","Other alternatives",20.5,12.8,42.41,87
"BF01","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",20.66,11.8,33.31,49
"BF01","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",20.66,13.3,26.44,61.5
"BF01","Nord","Conventional without fungicide ","2024","Evonta","E-beam",20.66,13.5,30.88,44.5
"BT19","Nord","Organic","2024","Temoin non traite","Control",21,13.4,33.36,86.75
"BT05","Chablais","Organic","2022","Evonta","E-beam",22.5,14.5,27.93,NA
"BF01","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",22.72,13.3,28.83,59
"BF04","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",22.72,12.1,30.67,52.5
"BF10","Centre - Pied du Jura","Organic","2024","Evonta","E-beam",22.72,13.1,37.15,48
"BT08","Chablais","Organic","2024","Tillecur","Tillecur",23,12.8,41.97,36
"BT07","Chablais","Conventional with fungicide ","2023","Conventionnel","Synthetic",23.3,13.1,38.19,41.75
"BT05","Chablais","Organic","2022","Thermoseed","ThermoSeed",23.7,14.4,26.17,NA
"BT07","Chablais","Conventional with fungicide ","2023","Evonta","E-beam",23.7,12.6,38.06,48
