S01A,S01B,S01C,S01D,S02A,S02B,S02C,S02D,S03A,S03B,S03C,S03D,S04A,S04B,S04C,S04D,S05B,S05C,S05D,S06A,S06B,S06C,S06D,S07A,S07B,S07C,S07D,S08A,S08B,S08C,S08D,S09A,S09B,S09C,S09D,S10A,S10B,S10C,S11A,S11B,S11C,S11D,S12A,S12B,S12C,S12D,S13A,S13B,S13C,S13D,S14B,S14C,S14D,S15A,S15B,S15C,S15D,S16A,S16B,S16C,S16D,S17A,S17B,S17C,S17D,S18A,S18B,S18C,S18D,S19A,S19B,S19C,S19D,S20A,S20B,S20C,S20D,S21A,S21B,S21C,S21D
1,0,0,2,5,4,4,2,4,3,1,3,2,3,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0,1,1,2,1,0,0,0,0,2,2,4,5,5,3,2,1,0,1,0,0,3,0,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,3,6,5,6,0,1,1,2,1,4,5,5
0,0,3,0,0,1,3,3,10,1,0,1,0,0,1,2,2,0,2,0,0,0,1,1,0,0,1,5,8,6,14,0,0,0,1,1,0,1,3,4,4,2,1,2,1,0,0,0,0,0,0,1,5,0,0,0,0,5,0,1,0,1,1,2,0,1,2,2,0,0,0,0,0,5,2,1,4,2,1,1,2
0,0,21,23,1,6,5,9,1,0,0,0,19,46,44,62,7,6,25,3,6,5,3,5,33,27,14,12,6,25,31,22,17,12,13,49,62,36,1,37,19,29,13,11,3,18,26,30,39,17,7,6,7,42,3,82,54,13,2,0,2,15,1,1,2,10,51,25,39,51,62,72,57,42,68,41,94,37,58,49,21
18,33,82,95,18,79,78,77,43,24,28,40,53,84,75,45,17,18,30,43,57,21,54,29,94,36,30,38,81,55,48,169,70,55,45,173,137,185,17,135,107,60,38,40,52,42,111,97,77,48,43,54,20,117,82,138,50,33,77,51,69,122,22,32,34,10,76,96,67,143,163,138,101,162,183,202,120,87,178,154,132
97,47,112,131,112,175,136,91,103,62,111,97,104,182,114,117,19,55,53,91,88,95,87,22,18,28,57,45,75,45,72,87,48,51,258,27,17,35,146,66,87,120,9,12,15,13,7,16,21,39,42,47,46,1,5,12,11,26,147,145,178,141,32,6,19,136,84,66,139,136,60,77,111,63,47,48,57,105,76,100,169
3,9,33,66,31,36,38,28,10,17,15,8,16,13,16,30,4,9,4,21,29,34,51,2,3,4,33,1,1,1,1,21,16,6,49,19,6,21,21,40,25,39,18,59,34,19,13,6,3,13,1,5,0,6,9,14,12,3,25,21,40,31,4,1,1,15,53,34,155,60,21,39,29,35,45,26,48,52,31,42,69
26,11,7,4,20,4,12,11,3,6,10,1,2,4,0,2,4,0,0,3,1,7,13,0,1,0,2,0,5,0,1,1,0,2,1,2,1,2,23,9,2,10,6,10,5,4,0,1,0,0,1,1,0,0,0,0,0,1,9,4,13,8,1,0,0,13,13,12,8,4,7,7,6,2,2,1,2,7,1,4,19
16,16,45,26,27,38,26,17,23,13,8,18,28,43,22,21,16,8,7,17,27,23,17,20,7,19,3,38,48,50,24,13,25,20,17,38,29,38,26,34,50,7,53,123,144,25,19,13,34,19,102,78,21,12,28,30,14,50,26,18,33,34,20,22,16,45,42,68,32,18,22,17,18,27,26,48,34,35,37,22,24
205,93,164,71,231,216,97,41,147,92,71,4,86,95,70,22,6,16,0,31,41,71,9,25,11,44,2,18,8,28,9,20,52,85,2,75,67,132,14,39,34,5,47,34,10,1,23,10,10,1,10,48,106,104,59,105,8,60,92,78,10,168,11,1,1,111,241,215,13,87,55,77,10,86,138,116,10,78,24,54,4
111,52,85,87,131,141,93,55,87,59,71,41,126,166,116,117,36,44,52,56,72,67,64,38,18,47,52,78,79,79,40,100,114,68,125,142,137,106,149,115,130,73,57,105,120,65,48,52,54,66,86,91,31,95,62,95,98,121,123,70,76,93,70,60,41,111,178,179,125,114,91,117,148,159,134,141,132,123,90,123,140
39,27,36,32,63,66,68,38,38,21,36,15,10,15,14,13,9,34,23,24,20,26,35,9,6,20,15,21,22,27,18,86,62,77,63,29,30,50,84,17,40,27,16,16,24,5,9,7,7,3,50,65,30,90,69,93,40,16,95,76,89,107,36,24,20,59,32,47,46,44,28,37,28,26,42,43,45,25,31,35,41
0,0,4,2,1,2,1,1,3,1,0,0,1,0,1,1,0,0,0,7,7,5,4,2,1,3,3,2,3,0,3,1,0,0,2,2,2,1,0,3,5,4,4,7,14,6,4,2,1,1,0,4,3,4,2,2,4,2,0,3,3,5,1,1,1,2,1,5,15,1,4,1,0,1,3,3,1,0,0,0,1
12,15,13,2,7,7,7,2,12,8,7,3,1,3,1,2,3,4,0,16,8,20,8,1,0,2,1,3,4,3,6,4,10,13,2,0,1,1,11,5,5,0,3,4,6,0,0,3,1,0,0,1,0,0,4,1,1,2,17,23,19,8,5,2,1,10,7,5,3,5,6,2,4,7,5,3,9,3,5,3,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
0,1,0,1,0,1,1,0,0,0,0,1,0,2,3,2,1,5,1,0,0,0,0,5,4,2,0,0,1,1,0,7,1,0,0,2,2,3,0,0,2,1,1,0,1,0,1,2,1,0,8,3,2,2,1,3,2,1,3,0,0,2,0,0,1,1,0,4,1,0,2,0,3,1,3,6,2,0,0,0,1
0,0,3,1,0,3,2,1,2,0,0,0,11,8,9,12,1,5,3,1,4,0,1,0,5,3,1,0,0,1,1,4,4,4,3,10,8,3,0,3,0,1,0,2,3,5,7,6,6,9,1,1,2,7,2,11,13,0,0,0,6,2,4,1,5,0,6,1,3,10,24,25,16,0,2,6,8,2,7,11,15
0,0,6,4,0,3,2,3,0,0,0,0,8,14,8,17,1,0,0,0,0,0,0,0,6,6,4,1,0,0,1,2,0,0,3,4,7,2,0,12,8,12,2,3,4,8,2,5,4,2,0,0,0,0,1,0,0,1,3,0,0,4,0,0,0,0,6,4,1,7,5,21,14,4,5,3,4,4,5,10,7
3,3,68,74,8,59,63,12,9,9,34,5,35,77,75,59,43,46,34,61,71,25,29,18,41,32,27,12,9,22,21,78,75,94,125,43,38,44,5,56,57,66,13,11,30,40,24,26,25,23,7,15,11,159,90,205,173,12,108,72,71,117,21,4,2,32,93,62,126,63,98,42,45,75,102,106,56,99,129,121,82
1,0,14,29,0,26,14,23,9,9,9,16,9,24,20,7,6,10,13,6,16,10,14,1,11,15,25,6,0,19,37,13,8,10,13,20,29,18,17,19,22,33,4,20,21,33,6,3,3,4,5,9,15,19,5,27,22,10,20,3,1,28,1,0,0,14,19,23,27,9,13,11,2,16,10,12,10,12,12,31,11
