Res0sem_21D,Res0sem_18D,Res0sem_13C,Res0sem_09A,Res0sem_11B,Res0sem_03C,Res0sem_17C,Res0sem_03A,Res0sem_17B,Res0sem_07C,Res0sem_10B,Res0sem_13B,Res0sem_20C,Res0sem_11D,Res0sem_12C,Res0sem_20A,Res0sem_09B,Res0sem_06A,Res0sem_10C,Res0sem_16B,Res0sem_19A,Res0sem_12D,Res0sem_09C,Res0sem_10A,Res0sem_18A,Res0sem_12B,Res0sem_08A,Res0sem_04D,Res0sem_15B,Res0sem_01A,Res0sem_16C,Res0sem_21A,Res0sem_18C,Res0sem_04A,Res0sem_19B,Res0sem_19C,Res0sem_07A,Res0sem_12A,Res0sem_01D,Res0sem_07B,Res0sem_18B,Res0sem_09D,Res0sem_15C,Res0sem_21C,Res0sem_05D,Res0sem_05B,Res0sem_01C,Res0sem_14C,Res0sem_05C,Res0sem_02B,Res0sem_20D,Res0sem_08D,Res0sem_03D,Res0sem_02C,Res0sem_08B,Res0sem_01B,Res0sem_06D,Res0sem_19D,Res0sem_16D,Res0sem_20B,Res0sem_15D,Res0sem_04B,Res0sem_02A,Res0sem_06C,Res0sem_13A,Res0sem_11C,Res0sem_06B,Res0sem_03B,Res0sem_14B,Res0sem_14D,Res0sem_17A,Res0sem_08C,Res0sem_16A,Res0sem_13D,Res0sem_04C,Res0sem_02D,Res0sem_21B,Res0sem_07D,Res0sem_11A,Res0sem_15A,Res0sem_17D
1468,74,19,982,459,770,322,455,277,80,316,15,141,860,49,86,768,146,365,1255,1969,57,382,220,69,90,441,1282,73,144,434,3213,51,573,1279,1338,138,75,236,91,79,1221,62,128,77,70,39,126,38,119,398,4462,274,363,1144,278,491,397,1329,580,347,514,530,78,18,708,177,348,77,252,1606,2452,401,24,575,1281,158,128,312,135,109
1365,368,21,99,144,359,156,419,131,36,43,33,122,231,54,92,197,63,117,937,66,80,59,63,78,35,35,208,199,72,357,521,82,35,66,120,45,79,244,44,58,407,197,328,280,291,35,83,24,55,39,570,261,492,59,134,231,52,740,367,173,39,495,55,25,176,46,191,30,246,274,270,70,49,103,2421,33,244,315,50,146
230,9839,472,349,941,63,261,62,437,237,1410,951,1208,8703,2820,398,162,145,1585,283,863,2118,210,3038,3082,805,209,43,272,91,318,307,1825,170,606,427,208,659,114,163,1350,295,5674,152,68,31,119,299,61,78,1762,143,73,214,201,44,59,163,144,4722,4925,77,99,89,148,5039,142,35,148,529,2432,224,887,353,103,193,74,272,296,8915,417
192,24,2,489,552,516,238,51,110,50,15,3,29,4281,48,5,401,37,89,24,2513,13,36,8,21,21,11,537,2,15,9,0,28,162,2295,396,14,170,21,34,4,335,2,6,21,19,11,4,15,21,11,258,25,17,120,48,1011,119,15,12,5,53,12,64,0,2768,86,258,3,2,22,374,26,2,264,207,1,44,868,3,230
319,89,9,438,80,482,74,125,122,27,41,14,38,141,10,54,413,40,180,108,67,3,71,79,153,11,71,29,8,44,57,16,52,27,170,44,8,5,89,24,55,308,8,82,19,10,13,375,8,15,10,233,134,111,55,226,255,30,13,102,18,69,148,30,7,299,39,197,99,420,213,301,12,24,40,143,21,32,36,6,61
2194,5882,2486,2008,594,242,439,775,260,338,71,760,1042,2035,209,341,874,281,291,857,876,152,298,96,1156,520,120,3465,592,37,3004,2013,777,3777,877,1478,330,473,95,238,1436,774,158,462,375,58,35,663,47,86,21983,863,212,280,287,122,373,260,1612,3915,67,1287,290,134,783,1585,516,265,808,1475,2814,497,196,1957,3140,1930,149,1120,346,165,205
4471,1709,256,2638,1083,3678,1925,4101,1483,1304,869,294,409,2776,593,281,1389,798,1836,5810,4055,2386,808,1404,789,738,610,441,2298,1355,2866,608,592,813,3341,3689,3332,193,1383,1918,395,3859,3065,471,2192,2129,404,1351,375,1015,547,1775,3663,3158,1365,6747,3910,814,9521,792,2399,764,2833,609,372,1428,818,2313,2510,9191,2786,1281,2259,525,491,8439,352,3144,1805,3213,5180
98,134,153,239,143,95,285,179,226,58,536,944,153,156,260,188,319,67,740,635,959,161,67,346,295,179,190,176,317,52,396,1034,92,282,958,1003,89,57,32,75,431,157,807,114,39,68,24,234,20,59,715,148,140,98,256,160,381,109,123,1083,124,199,70,63,208,190,118,221,432,348,668,464,463,100,352,263,33,68,100,509,124
0,582,0,0,0,173,0,0,14,0,58,0,1,370,0,0,2,0,1,292,0,0,11,2,209,0,1,2,0,0,0,0,2,2,0,0,0,0,24,1,311,1,0,1,1,31,0,3,4,17,0,0,1,114,0,5,0,0,1,0,0,4,1,2,1,6,1,196,89,0,102,1,31,0,0,33,0,0,269,0,1
5984,483,59,845,1157,3126,149,2080,176,342,418,202,418,1291,106,179,579,779,1348,2747,128,81,214,592,453,69,407,2394,1435,592,1975,2709,208,2076,131,71,546,68,1015,702,216,1101,885,1547,479,314,164,797,151,533,241,1540,2690,2125,600,2079,2924,97,3130,349,865,1131,1086,656,114,2436,800,1474,704,3927,2800,711,170,189,1712,7870,422,1572,1351,677,228
