code,date,PH.H2O,Corg_pourcent,argile_pourcent,silt_pourcent,sable_pourcent,phosphore_indice,potassium_indice,magnesium_indice,Calcium_pourcent,corg_sur_argile,P_mg_per_kg
BF01,15.11.2022,6.9,2.7,26.1,33.3,40.6,4.5,2.5,8.3,0,10.3,0.6975
BF02,17.11.2022,6.9,4.6,27.9,48.5,23.6,12.8,4.9,18.5,0,16.5,1.984
BF03,17.11.2022,6.9,2,17.3,34.9,47.7,9.1,2.6,7.8,0,11.6,1.4105
BF04,15.11.2022,7.3,3.1,25,33.9,41.1,8.4,2.5,12.1,0,12.4,1.302
BF07,24.11.2022,8,3.9,34.9,51.5,13.7,9.3,4.5,11.2,10.9,11.2,1.4415
BF08,02.12.2022,8.1,2.9,25.6,26.1,48.3,3.7,5.5,8.3,5.9,11.3,0.5735
BF09,24.11.2022,6.6,3.1,17.9,35.3,46.8,31.4,5.7,12.5,0,17.3,4.867
BF10,23.11.2022,6.3,3.4,16.3,25.9,57.8,4.5,2.4,9.8,0,20.9,0.6975
BF11,15.11.2022,6.7,2.9,25.6,32.1,42.3,4,1.5,13,0,11.3,0.62
BT03,17.11.2022,7.6,4.3,22.4,32.4,45.1,13.3,2.3,3.5,0,19.2,2.0615
BT04,01.12.2022,8.1,2,14.5,33.4,52.1,11.9,3.8,4.4,11.4,13.8,1.8445
BT06,17.11.2022,7.8,3.2,23.8,43.8,32.4,14.8,4.3,4.8,1,13.4,2.294
BT07,23.11.2022,8,3.2,16.9,70.9,12.2,3.5,1.1,4.4,6,18.9,0.5425
BT09,15.11.2022,7.4,3.5,28.8,34.1,37.1,4.5,3.9,14.7,0,12.2,0.6975
BT11,15.11.2022,8.1,2.8,29.3,28.6,42.1,5.4,7.2,8.4,6,9.6,0.837
BT13,23.11.2022,8,4.2,16.5,76.1,7.3,7.2,8.2,5.1,2.9,25.5,1.116
BT15,15.11.2022,7.4,3,29.5,32,38.5,6.6,2.2,10.8,0,10.2,1.023
BT16,23.11.2022,6.7,2.9,21.8,40.4,37.7,10.9,3,9.2,0,13.3,1.6895
BT17,23.11.2022,7.2,7.2,24.7,36.6,38.7,15.3,4.4,12,0,29.1,2.3715
BT18,24.11.2022,7.4,2.5,12.7,27.9,59.5,30.9,7.2,5.8,0,19.7,4.7895
BT20,17.11.2022,6.7,3.3,22.3,33.4,44.2,15.4,3.5,16.1,0,14.8,2.387
