date,traitement,management,habitat,code,SampleID
15.11.2022,synthetic,conventional,rhizosphere,BF01,S01A
15.11.2022,ThermoSeed,conventional,rhizosphere,BF01,S01B
15.11.2022,control,conventional,rhizosphere,BF01,S01C
15.11.2022,NA,conventional,soil,BF01,S01D
15.11.2022,synthetic,conventional,rhizosphere,BF04,S02A
15.11.2022,ThermoSeed,conventional,rhizosphere,BF04,S02B
15.11.2022,control,conventional,rhizosphere,BF04,S02C
15.11.2022,NA,conventional,soil,BF04,S02D
15.11.2022,synthetic,conventional,rhizosphere,BF11,S03A
15.11.2022,ThermoSeed,conventional,rhizosphere,BF11,S03B
15.11.2022,control,conventional,rhizosphere,BF11,S03C
15.11.2022,NA,conventional,soil,BF11,S03D
15.11.2022,synthetic,conventional,rhizosphere,BT11,S04A
15.11.2022,ThermoSeed,conventional,rhizosphere,BT11,S04B
15.11.2022,control,conventional,rhizosphere,BT11,S04C
15.11.2022,NA,conventional,soil,BT11,S04D
15.11.2022,ThermoSeed,organic,rhizosphere,BT09,S05B
15.11.2022,control,organic,rhizosphere,BT09,S05C
15.11.2022,NA,organic,soil,BT09,S05D
15.11.2022,synthetic,conventional,rhizosphere,BT15,S06A
15.11.2022,ThermoSeed,conventional,rhizosphere,BT15,S06B
15.11.2022,control,conventional,rhizosphere,BT15,S06C
15.11.2022,NA,conventional,soil,BT15,S06D
17.11.2022,synthetic,conventional,rhizosphere,BF02,S07A
17.11.2022,ThermoSeed,conventional,rhizosphere,BF02,S07B
17.11.2022,control,conventional,rhizosphere,BF02,S07C
17.11.2022,NA,conventional,soil,BF02,S07D
17.11.2022,synthetic,conventional,rhizosphere,BF03,S08A
17.11.2022,ThermoSeed,conventional,rhizosphere,BF03,S08B
17.11.2022,control,conventional,rhizosphere,BF03,S08C
17.11.2022,NA,conventional,soil,BF03,S08D
17.11.2022,synthetic,conventional,rhizosphere,BT20,S09A
17.11.2022,ThermoSeed,conventional,rhizosphere,BT20,S09B
17.11.2022,control,conventional,rhizosphere,BT20,S09C
17.11.2022,NA,conventional,soil,BT20,S09D
17.11.2022,Tillecur,organic,rhizosphere,BT03,S10A
17.11.2022,ThermoSeed,organic,rhizosphere,BT03,S10B
17.11.2022,control,organic,rhizosphere,BT03,S10C
17.11.2022,synthetic,conventional,rhizosphere,BT06,S11A
17.11.2022,ThermoSeed,conventional,rhizosphere,BT06,S11B
17.11.2022,control,conventional,rhizosphere,BT06,S11C
17.11.2022,NA,conventional,soil,BT06,S11D
23.11.2022,synthetic,conventional,rhizosphere,BT13,S12A
23.11.2022,ThermoSeed,conventional,rhizosphere,BT13,S12B
23.11.2022,control,conventional,rhizosphere,BT13,S12C
23.11.2022,NA,conventional,soil,BT13,S12D
23.11.2022,synthetic,conventional,rhizosphere,BT07,S13A
23.11.2022,ThermoSeed,conventional,rhizosphere,BT07,S13B
23.11.2022,control,conventional,rhizosphere,BT07,S13C
23.11.2022,NA,conventional,soil,BT07,S13D
23.11.2022,ThermoSeed,organic,rhizosphere,BF10,S14B
23.11.2022,control,organic,rhizosphere,BF10,S14C
23.11.2022,NA,organic,soil,BF10,S14D
23.11.2022,synthetic,conventional,rhizosphere,BT17,S15A
23.11.2022,ThermoSeed,conventional,rhizosphere,BT17,S15B
23.11.2022,control,conventional,rhizosphere,BT17,S15C
23.11.2022,NA,conventional,soil,BT17,S15D
23.11.2022,synthetic,conventional,rhizosphere,BT16,S16A
23.11.2022,ThermoSeed,conventional,rhizosphere,BT16,S16B
23.11.2022,control,conventional,rhizosphere,BT16,S16C
23.11.2022,NA,conventional,soil,BT16,S16D
24.11.2022,synthetic,conventional,rhizosphere,BF09,S17A
24.11.2022,ThermoSeed,conventional,rhizosphere,BF09,S17B
24.11.2022,control,conventional,rhizosphere,BF09,S17C
24.11.2022,NA,conventional,soil,BF09,S17D
24.11.2022,Tillecur,organic,rhizosphere,BT18,S18A
24.11.2022,ThermoSeed,organic,rhizosphere,BT18,S18B
24.11.2022,control,organic,rhizosphere,BT18,S18C
24.11.2022,NA,organic,soil,BT18,S18D
24.11.2022,Tillecur,organic,rhizosphere,BF07,S19A
24.11.2022,ThermoSeed,organic,rhizosphere,BF07,S19B
24.11.2022,control,organic,rhizosphere,BF07,S19C
24.11.2022,NA,organic,soil,BF07,S19D
01.12.2022,synthetic,conventional,rhizosphere,BT04,S20A
01.12.2022,ThermoSeed,conventional,rhizosphere,BT04,S20B
01.12.2022,control,conventional,rhizosphere,BT04,S20C
01.12.2022,NA,conventional,soil,BT04,S20D
02.12.2022,synthetic,conventional,rhizosphere,BF08,S21A
02.12.2022,ThermoSeed,conventional,rhizosphere,BF08,S21B
02.12.2022,control,conventional,rhizosphere,BF08,S21C
02.12.2022,NA,conventional,soil,BF08,S21D
