"","otu_diversity","otu_richness","otu_evenness","date","traitement","management","habitat","code"
"S01A",459.676365603647,1390.73,0.330537825948354,"15.11.2022","synthetic","conventional","rhizosphere","BF01"
"S01B",466.484498605458,1477.942,0.315636917337504,"15.11.2022","ThermoSeed","conventional","rhizosphere","BF01"
"S01C",711.716807137697,1753.988,0.405777400667459,"15.11.2022","control","conventional","rhizosphere","BF01"
"S01D",748.097688111391,1709.498,0.437617641129209,"15.11.2022",NA,"conventional","soil","BF01"
"S02A",549.841663417489,1479.292,0.371704946417215,"15.11.2022","synthetic","conventional","rhizosphere","BF04"
"S02B",613.839320743133,1658.098,0.370212566715613,"15.11.2022","ThermoSeed","conventional","rhizosphere","BF04"
"S02C",633.572717547298,1634.632,0.387601877863211,"15.11.2022","control","conventional","rhizosphere","BF04"
"S02D",729.835622092248,1697.41,0.429979645621688,"15.11.2022",NA,"conventional","soil","BF04"
"S03A",632.682672737836,1650.304,0.38338007937252,"15.11.2022","synthetic","conventional","rhizosphere","BF11"
"S03B",558.719509716635,1581.576,0.353275816844012,"15.11.2022","ThermoSeed","conventional","rhizosphere","BF11"
"S03C",599.282250598364,1531.09,0.391418339475241,"15.11.2022","control","conventional","rhizosphere","BF11"
"S03D",574.547250606497,1540.516,0.372966214745165,"15.11.2022",NA,"conventional","soil","BF11"
"S04A",618.327477085432,1530.36,0.404049834862498,"15.11.2022","synthetic","conventional","rhizosphere","BT11"
"S04B",676.868431219938,1644.162,0.411686388746972,"15.11.2022","ThermoSeed","conventional","rhizosphere","BT11"
"S04C",655.468246642237,1585.414,0.413444978334264,"15.11.2022","control","conventional","rhizosphere","BT11"
"S04D",744.601966253488,1691.796,0.440133822266175,"15.11.2022",NA,"conventional","soil","BT11"
"S05B",681.58933167457,1713,0.397892195957135,"15.11.2022","ThermoSeed","organic","rhizosphere","BT09"
"S05C",730.414767632953,1626.024,0.44920943990785,"15.11.2022","control","organic","rhizosphere","BT09"
"S05D",646.927816978519,1527.486,0.423528947628863,"15.11.2022",NA,"organic","soil","BT09"
"S06A",695.753678227247,1652.564,0.421021909023721,"15.11.2022","synthetic","conventional","rhizosphere","BT15"
"S06B",742.254628377545,1684.714,0.44059021453129,"15.11.2022","ThermoSeed","conventional","rhizosphere","BT15"
"S06C",707.005832289248,1678.48,0.421224177236071,"15.11.2022","control","conventional","rhizosphere","BT15"
"S06D",675.542908980893,1661.802,0.406517424463821,"15.11.2022",NA,"conventional","soil","BT15"
"S07A",567.806130374563,1667.558,0.340505805845998,"17.11.2022","synthetic","conventional","rhizosphere","BF02"
"S07B",687.385058087663,1755.05,0.391665511226331,"17.11.2022","ThermoSeed","conventional","rhizosphere","BF02"
"S07C",678.934080772819,1790.096,0.379280116079719,"17.11.2022","control","conventional","rhizosphere","BF02"
"S07D",536.826765899461,1628.484,0.329654059406935,"17.11.2022",NA,"conventional","soil","BF02"
"S08A",633.337749909334,1699.026,0.37276961764934,"17.11.2022","synthetic","conventional","rhizosphere","BF03"
"S08B",610.192258688215,1664.482,0.366602648430241,"17.11.2022","ThermoSeed","conventional","rhizosphere","BF03"
"S08C",587.460448883535,1701.434,0.345278029598444,"17.11.2022","control","conventional","rhizosphere","BF03"
"S08D",710.271075056301,1729.656,0.410651600631655,"17.11.2022",NA,"conventional","soil","BF03"
"S09A",790.569460752757,1735.734,0.455475399714825,"17.11.2022","synthetic","conventional","rhizosphere","BT20"
"S09B",701.015523347946,1672.28,0.419201788013922,"17.11.2022","ThermoSeed","conventional","rhizosphere","BT20"
"S09C",766.24962404119,1704.69,0.449505984848712,"17.11.2022","control","conventional","rhizosphere","BT20"
