"","otu_diversity","otu_richness","otu_evenness","date","traitement","management","habitat","code"
"Res0sem_21D",38.4229851532124,156.56,0.245568033684592,"02.12.2022",NA,"conventional","soil","BF08"
"Res0sem_18D",31.1428274876761,183.092,0.170204612048263,"24.11.2022",NA,"organic","soil","BT18"
"Res0sem_13C",38.6981818131173,201.326,0.192318951684405,"23.11.2022","control","conventional","rhizosphere","BT07"
"Res0sem_09A",33.5773259008661,190.26,0.176625292789031,"17.11.2022","synthetic","conventional","rhizosphere","BT20"
"Res0sem_11B",40.6586824506121,209.932,0.193804131040146,"17.11.2022","ThermoSeed","conventional","rhizosphere","BT06"
"Res0sem_03C",35.4182562318877,192.402,0.184217175667253,"15.11.2022","control","conventional","rhizosphere","BF11"
"Res0sem_17C",45.0225977323474,204.748,0.219988644880747,"24.11.2022","control","conventional","rhizosphere","BF09"
"Res0sem_03A",23.9855386988601,161.108,0.149017784157243,"15.11.2022","synthetic","conventional","rhizosphere","BF11"
"Res0sem_17B",52.1833673100658,266.844,0.195635274265626,"24.11.2022","ThermoSeed","conventional","rhizosphere","BF09"
"Res0sem_07C",30.0323515696485,220.592,0.136211989429085,"17.11.2022","control","conventional","rhizosphere","BF02"
"Res0sem_10B",58.849082977296,238.126,0.247228749802564,"17.11.2022","ThermoSeed","organic","rhizosphere","BT03"
"Res0sem_13B",55.3195183297716,186.77,0.296393249168257,"23.11.2022","ThermoSeed","conventional","rhizosphere","BT07"
"Res0sem_20C",22.1487632970194,197.124,0.112437794211383,"01.12.2022","control","conventional","rhizosphere","BT04"
"Res0sem_11D",26.7347193389298,176.754,0.151373804607679,"17.11.2022",NA,"conventional","soil","BT06"
"Res0sem_12C",55.9731105843916,223.868,0.250146005698125,"23.11.2022","control","conventional","rhizosphere","BT13"
"Res0sem_20A",43.7385280477375,260.414,0.167998300686856,"01.12.2022","synthetic","conventional","rhizosphere","BT04"
"Res0sem_09B",40.413241323054,200.706,0.201491170275163,"17.11.2022","ThermoSeed","conventional","rhizosphere","BT20"
"Res0sem_06A",44.4078156709198,253.728,0.175074590041989,"15.11.2022","synthetic","conventional","rhizosphere","BT15"
"Res0sem_10C",64.5665519070012,238.258,0.271123825699962,"17.11.2022","control","organic","rhizosphere","BT03"
"Res0sem_16B",43.6438056270666,192.064,0.227371430499717,"23.11.2022","ThermoSeed","conventional","rhizosphere","BT16"
"Res0sem_19A",35.569706003538,197.916,0.179831227794539,"24.11.2022","Tillecur","organic","rhizosphere","BF07"
"Res0sem_12D",52.7226875912904,187.112,0.2819567054309,"23.11.2022",NA,"conventional","soil","BT13"
"Res0sem_09C",46.7395316355853,236.188,0.197962789885992,"17.11.2022","control","conventional","rhizosphere","BT20"
"Res0sem_10A",49.9558744093854,234.46,0.213158839979508,"17.11.2022","Tillecur","organic","rhizosphere","BT03"
"Res0sem_18A",43.2303359724024,220.724,0.19595392272802,"24.11.2022","Tillecur","organic","rhizosphere","BT18"
"Res0sem_12B",67.6632332738094,219.494,0.308402927006069,"23.11.2022","ThermoSeed","conventional","rhizosphere","BT13"
"Res0sem_08A",43.9441432887807,224.752,0.195604202949554,"17.11.2022","synthetic","conventional","rhizosphere","BF03"
"Res0sem_04D",30.6328878382865,181.95,0.168467808952848,"15.11.2022",NA,"conventional","soil","BT11"
"Res0sem_15B",59.8007680159086,287.194,0.208306881464827,"23.11.2022","ThermoSeed","conventional","rhizosphere","BT17"
"Res0sem_01A",31.9601379558117,212.53,0.150452785251492,"15.11.2022","synthetic","conventional","rhizosphere","BF01"
"Res0sem_16C",50.7603005626251,233.952,0.217068252710404,"23.11.2022","control","conventional","rhizosphere","BT16"
"Res0sem_21A",28.435330068973,106.742,0.266579055993526,"02.12.2022","synthetic","conventional","rhizosphere","BF08"
"Res0sem_18C",31.6282746515484,230.854,0.137068863631491,"24.11.2022","control","organic","rhizosphere","BT18"
"Res0sem_04A",17.3691170041009,175.592,0.0990036575316158,"15.11.2022","synthetic","conventional","rhizosphere","BT11"
"Res0sem_19B",23.8894884501596,185.608,0.128812920351047,"24.11.2022","ThermoSeed","organic","rhizosphere","BF07"
"Res0sem_19C",42.2747537849803,219.834,0.192412054412306,"24.11.2022","control","organic","rhizosphere","BF07"
"Res0sem_07A",24.6764467959511,200.858,0.122945124043662,"17.11.2022","synthetic","conventional","rhizosphere","BF02"
"Res0sem_12A",56.31805012695,164.702,0.34217922395915,"23.11.2022","synthetic","conventional","rhizosphere","BT13"
"Res0sem_01D",30.8286771641808,222.88,0.13839997212546,"15.11.2022",NA,"conventional","soil","BF01"
"Res0sem_07B",35.7189174941388,208.894,0.171077738326486,"17.11.2022","ThermoSeed","conventional","rhizosphere","BF02"
"Res0sem_18B",58.1774308144515,256.134,0.227208328454378,"24.11.2022","ThermoSeed","organic","rhizosphere","BT18"
"Res0sem_09D",41.1635858986392,205.436,0.200505768753365,"17.11.2022",NA,"conventional","soil","BT20"
